submission_sample_ID,sample_number,sample_year_extract_ID,sample_type,site,gene,year,lake.area.ha,lake.area.m2,elevation,fish,depth.feet,lat,long,water_cat,secchi,surface.temp,air.temp,o2,O2.percent,cond.us.cm,sp.Cond,pH.method,ph.ysi,ph.kit,alkalinity.drops,salinity,tn.mg.l,tp.mg.l,doc.mg,doc.um,chla,Tow depth,tn.umol.L,tp.umol.L
CBW_283_18S,368,2019_07,sierra,Virginia ,18S,2019,10.4569,10456.9,2993,Y,29,38.0469747,-119.2650757,wet,9,16.7,69,,,,,kit,,7,8,,,,,,0.32,15,1.75,49.08
CBW_285_18S,370,2019_14,sierra,Cathedral.2.upper,18S,2019,4.4,4400,2924,Y,11,37.8393589,-119.4155802,wet,,18.3,74,,,,,kit,,6.2,4,,,,,,0.38,6,1.76,45.97
CBW_286_18S,371,2019_20,sierra,Sunrise3,18S,2019,4.5673,4567.3,2882,Y,39,37.8062159,-119.443259,wet,9,20,72,,,,,kit,,6.2,6,,,,,,0.19,11,0.84,51.51
CBW_287_18S,372,2019_16,sierra,Elizabeth,18S,2019,9.8861,9886.1,2897,Y,32,37.8451855,-119.3699099,wet,6,17.8,65,,,,,kit,,6.4,6,,,,,,0.38,10,2.45,39.01
CBW_288_18S,373,2019_10,sierra,Sunrise2,18S,2019,3.0223,3022.3,2835,N,16.9,37.8088233,-119.4494792,wet,,22.2,88,,,,,kit,,6.4,4,,,,,,0.44,,0.3,19.46
CBW_289_18S,374,2019_02,sierra,PollyDomeThree,18S,2019,0.6749,6749,2667,N,13.1,37.865471,-119.448998,wet,6,21.5,78,,,,,kit,,6,3,,,,,,0.41,1,5,173.38
CBW_290_18S,375,2019_09,sierra,Cathedral.1.lower,18S,2019,9.7546,9754.6,2832,Y,36.7,37.8450836,-119.4243486,wet,9,18.3,69,,,,,kit,,6.2,4,,,,,,0.21,10,0.83,31.69
CBW_292_18S,377,2019_11,sierra,Granite.1.lower,18S,2019,7.4796,7479.6,3167,Y,,37.9217949,-119.2758264,wet,7,16.1,72,,,,,kit,,6.6,,,,,,,0.64,10,0.84,11.96
CBW_293_18S,378,2019_15,sierra,Gaylor.1.lower,18S,2019,8.7115,99503,3150,Y,26.2,37.9126276,-119.2688475,wet,6,16.7,72,,,,,kit,,6.6,7,,,,,,0.87,12,5.06,91.58
CBW_294_18S,379,2019_01,sierra,PollyDomeTwo,18S,2019,1.0858,10858,2663,N,13.1,37.864605,-119.451607,wet,12.4,23,78,,,,,kit,,6,2,,,,,,0.48,3,1.35,50.16
CBW_295_18S,380,2019_21,sierra,Blue ,18S,2019,3.907,3907,3009,Y,35,38.0511336,-119.2703313,wet,8,16.1,70,,,,,kit,,6.8,8,,,,,,0.58,15,,
CBW_296_18S,381,2019_08,sierra,May ,18S,2019,20.5206,20520.6,2845,Y,32,37.8474768,-119.4930758,wet,5.5,16.1,68,,,,,kit,,6.4,4,,,,,,0.6,16,,
CBW_297_18S,382,2019_12,sierra,Sunrise1,18S,2019,2.6852,2685.2,2801,Y,16.6,37.8041514,-119.4521835,wet,,22.2,82,,,,,kit,,6.4,5,,,,,,0.38,6,,
